project_full_name,fix_commit_hash,buggy_commit_hash,bug_id,bug_type,number_loc_added,number_loc_deleted
PennyLaneAI/pennylane,c267cd0337414a6e3e8296629a8914032806cda7,c267cd0337414a6e3e8296629a8914032806cda7^1,128,Classical,148,17
QE-Lab/OpenQL,0648b0e443d5645a27894f4a5ed7ec6cda0ffb85,0648b0e443d5645a27894f4a5ed7ec6cda0ffb85^1,1280,Classical,40,26
QE-Lab/OpenQL,39c9098df670306bb5a37c5006c7b9340252bef7,39c9098df670306bb5a37c5006c7b9340252bef7^1,1287,Classical,9,2
QE-Lab/OpenQL,be54ea333f9b2fc76056bf48af4d638e4ebd2f78,be54ea333f9b2fc76056bf48af4d638e4ebd2f78^1,1288,Classical,71,2
quantumlib/Cirq,367485cfc7ff58eb99a84591f3b007365f6cad3b,367485cfc7ff58eb99a84591f3b007365f6cad3b^1,1327,Classical,3,1
quantumlib/Cirq,342bcc3cfe455e403dbf51a3bf71e85211c3cf36,342bcc3cfe455e403dbf51a3bf71e85211c3cf36^1,1331,Quantum,28,24
PennyLaneAI/pennylane,1a48733e25caa373966a03dcc0d073420fcd5fed,1a48733e25caa373966a03dcc0d073420fcd5fed^1,136,Quantum,25,
quantumlib/Cirq,94181e2784bf9a7b4259503db8a4f6808325bcf2,94181e2784bf9a7b4259503db8a4f6808325bcf2^1,1372,Quantum,66,1
PennyLaneAI/pennylane,ee9436ca19e40fa20fac83d1da3c4fd6571fb48c,ee9436ca19e40fa20fac83d1da3c4fd6571fb48c^1,138,Quantum,79,4
PennyLaneAI/pennylane,ef87a8cf35accfbb556fab13210288f9c46b358b,ef87a8cf35accfbb556fab13210288f9c46b358b^1,140,Classical,410,65
quantumlib/Cirq,a3ab283cecf50c9e74e6f5a586e07f63e55cac8a,a3ab283cecf50c9e74e6f5a586e07f63e55cac8a^1,1417,Quantum,2,3
quantumlib/Cirq,4dae9b2c766fb9cd5a24bce655020b63c0ed47ac,4dae9b2c766fb9cd5a24bce655020b63c0ed47ac^1,1464,Quantum,75,4
quantumlib/Cirq,875132cf97190c016023c20958f69a675376a160,875132cf97190c016023c20958f69a675376a160^1,1467,Classical,4,4
quantumlib/Cirq,df52d1c6168d2f64cef4045b1c4a149c98e807d3,df52d1c6168d2f64cef4045b1c4a149c98e807d3^1,1496,Quantum,67,21
PennyLaneAI/pennylane,a4d7abdc047869a2d378e54c7b1cc0b036ae7625,a4d7abdc047869a2d378e54c7b1cc0b036ae7625^1,150,Quantum,50,2
quantumlib/Cirq,7c8c959e5e4b90f857cd1539279c51d30224033c,7c8c959e5e4b90f857cd1539279c51d30224033c^1,1518,Classical,410,4
quantumlib/Cirq,00f29904c6de484c6bd273fdca47bc80a0f84eba,00f29904c6de484c6bd273fdca47bc80a0f84eba^1,1537,Classical,164,1
PennyLaneAI/pennylane,614db57b02536bb09fbfbae853ceff8878b928af,614db57b02536bb09fbfbae853ceff8878b928af^1,154,Quantum,18,1
quantumlib/Cirq,18c97b3fc3f776a830b25871aabc2b6b1255b301,18c97b3fc3f776a830b25871aabc2b6b1255b301^1,1555,Classical,9,1
PennyLaneAI/pennylane,a5b9b23952b7cad3528d0b64f1084d0e40b563ab,a5b9b23952b7cad3528d0b64f1084d0e40b563ab^1,156,Classical,56,7
quantumlib/Cirq,51dc09663cc862b7a964aaab2c59952737a44b7b,51dc09663cc862b7a964aaab2c59952737a44b7b^1,1571,Classical,84,12
PennyLaneAI/pennylane,c9745b96717854aeba77ba9b43e8144115f63a28,c9745b96717854aeba77ba9b43e8144115f63a28^1,159,Quantum,26,1
Qiskit/qiskit-ignis,838bc0f750d63b4ea14789fd174f9a10f51f61c2,838bc0f750d63b4ea14789fd174f9a10f51f61c2^1,16,Quantum,9,7
PennyLaneAI/pennylane,382b4f58b3c22cc2cfbb84205087733228b54807,382b4f58b3c22cc2cfbb84205087733228b54807^1,160,Quantum,40,22
